x,y,x_tf,y_tf,v,cmd_v,path_x,path_y
0.000995757737071087,-0.0032287767308495836,0.0005416480096490287,1.5561907581044472e-06,-0.0018090392210053767,0.0,,
0.000995757737071087,-0.0032287767308495836,0.0005416480096490287,1.5561907581044472e-06,-0.0018090392210053767,0.0,,
0.000995757737071087,-0.0032287767308495836,0.0005416480096490287,1.5561907581044472e-06,-0.0018090392210053767,0.0,,
0.001001459822784001,-0.003319906955603166,0.00048142164175964797,1.319541417105034e-06,-0.0005726876255546935,0.0,,
0.0010682042660209725,-0.0034232940901939373,0.0004468997829784958,1.1716739361032883e-06,-5.284090056357203e-05,-0.005078834500219665,,
0.0005510331265438826,-0.0037690147118401864,-0.00023693498509093418,-6.985750217231773e-05,-0.00963434890957238,-0.0053022714257603965,,
-0.000663460921642288,-0.0042363743090339774,-0.0016196738508681206,-0.0008280023389027326,-0.01566461737700874,-0.012466774823905536,,
-0.002479541415795619,-0.004081406373586534,-0.0031082773158043176,-0.0017019560613002567,-0.018865721084431554,-0.011072189348065004,,
-0.004159009423091578,-0.004719959282940127,-0.00436340091790699,-0.0024388413587114028,-0.01638462642156637,-0.05683061824655206,,
-0.00730431390535302,-0.006992572910733901,-0.007609931537876171,-0.004344920384503944,-0.0400724453249401,-0.08149087421176342,,
-0.01225784932281062,-0.009172998146498962,-0.01249255498962283,-0.007211510640849875,-0.05359575698113035,-0.06450778490828803,,
-0.0167745380677826,-0.011396092138244664,-0.016732222815521062,-0.00970060379290436,-0.034235258476879186,-0.07003614390832409,,
-0.02073542051698026,-0.014146678587682123,-0.02061162036195651,-0.011978244398963707,-0.0460011130704136,-0.054313466390140154,,
-0.025576200227017013,-0.017383251775029033,-0.02573924760303118,-0.014988762139753873,-0.05424550632887469,-0.09561288112632657,,
-0.031059884865186963,-0.020006879648669252,-0.031168214462275627,-0.01817610151131943,-0.05120902089997968,-0.09149192313922881,,
-0.03541699359283588,-0.022201658692158815,-0.03529791464776657,-0.020600631216040298,-0.03690630909803223,-0.10917218553945704,,
-0.03941063235931575,-0.025169191534204785,-0.039360479927249295,-0.02298582183930101,-0.038636900315786024,-0.15716415518303284,,
-0.04443338028483093,-0.02838767141029367,-0.04467158122546292,-0.026104047878322073,-0.054368152157533295,-0.21476327331290704,,
-0.05023288012941807,-0.030927673483771196,-0.05033062427167108,-0.029426448765780114,-0.0627931958579299,-0.27057140078716885,,
-0.058079815257715446,-0.03428032534986,-0.057674526675123426,-0.03373804183056443,-0.09336347787425536,-0.3389425140331858,,
-0.06931992014122737,-0.0397365071382796,-0.0684196831183867,-0.04004658686989356,-0.13145777445650714,-0.38519621075723737,,
-0.08438325793869327,-0.04797290903195169,-0.08321638363879323,-0.04873381360883355,-0.17173643067318306,-0.4502790546963355,,
-0.10345546189529278,-0.058557456470676304,-0.10217148744692782,-0.05986244932366266,-0.21394914604902493,-0.5030836696185857,,
-0.12654142405113178,-0.07134268829817045,-0.12506322033874195,-0.07330219441686225,-0.2501054333629341,-0.5403998520582106,,
