x,y,v
0.0014960517982635316,-0.00537631958874716,-0.0031481211817463565
0.0014960517982635316,-0.00537631958874716,-0.0031481211817463565
0.002415536003748394,-0.005434370619566115,0.03183228482426916
0.0070910378073823655,-0.005073127171963971,0.062093863065330344
0.01499494087182188,-0.004228689983258507,0.09234223576659852
0.025333449411356356,-0.0028866751525874696,0.11617949053007277
0.03827937271518568,-0.0009151798681997043,0.1392727256401128
0.053416527677724805,0.0018318194990263562,0.1619385866754456
0.07075743085196701,0.005614410140882911,0.18264400429622238
0.09011991572617015,0.010753497054460505,0.20139941472603043
0.1108733792015291,0.01786544268235375,0.21674976743666705
0.13378068925686332,0.027189265209868398,0.23964823044275205
0.1573351120168735,0.039446791304184166,0.250731020733691
0.18234332420134405,0.05580776623414526,0.22945173071515898
0.206662302857292,0.07564967956443784,0.23013728861286156
0.22357815409247056,0.10708882289777005,0.1776891376310164
0.24512030379470434,0.14162943449528445,0.2564933806343475
0.27097369902098,0.1784557756289511,0.26175865091185613
0.2986608845761937,0.21966876647865666,0.3054592616202278
0.3298900992755205,0.2639526079962428,0.33105580940534973
0.36405953469495267,0.31183882644389455,0.3692838626103049
0.40142022261798793,0.3623546694623275,0.4005767850541557
0.4423332068834281,0.41765317798724766,0.41586792752304613
0.4857457832174041,0.4760627189458692,0.4619702215965685
0.5333372137288456,0.5371405233881191,0.512867580928637
0.5850374699098442,0.6008786915612151,0.530273074148491
0.6401969376154718,0.6677710826775395,0.5913739948776601
0.7005641337063462,0.7363280061581653,0.6470615769321966
0.7663212284757848,0.8061965215171712,0.7062443290018099
0.838082075697008,0.8766086768802382,0.7707400361261894
0.9165986191383589,0.9464679622475286,0.8397421900597597
1.0018846295594974,1.0154430715830653,0.9102233506628361
1.0941610398121084,1.08244945784063,0.9790361218430682
1.1940105844646007,1.1442189907925013,1.0585350552394184
1.301288753666508,1.1975270390550101,1.1094816497425024
1.4118671868704795,1.2417943809855068,1.143311121939774
1.528959442390172,1.272107004915458,1.173299470136637
1.6462313260712496,1.2917216775620233,1.1689899336263174
1.764457994831608,1.2939522780750488,1.185507220524043
1.8848736480382817,1.28697251750409,1.1946541933956794
2.0004383957240184,1.2797078623585043,1.1075736064036488
2.1098256290962176,1.2704307919878408,1.0629743719425813
2.211035795234103,1.2592715959368517,0.9621665485661107
2.3012188959799635,1.2348401093520278,0.8190388336393001
2.370883908106685,1.180779695610925,0.6585275245649178
2.436321661194412,1.1154067574489985,0.6339749027319779
2.507131450227202,1.0508762194157975,0.7512293122857245
2.5839478822512167,0.9847882924306919,0.757968411642116
2.6598395471736036,0.9121826526272017,0.7091736739648454
2.7308984358881716,0.8303273516565759,0.6624878604844616
2.799869515293452,0.7381512245496246,0.6415645251852778
2.8663857569132314,0.6412810644068389,0.6742839831433575
2.9309067696961475,0.5399811728221872,0.6074522103169882
2.9914557962924655,0.4353832129295837,0.5960957519898962
3.048153776721154,0.33041442324864134,0.5581132749441517
3.1031515659560602,0.22153681494616154,0.5339863288502059
3.155792398125897,0.11328237851048421,0.5343256796227547
3.2068916220663746,0.006252880636938105,0.5061710256090359
3.2569052478018854,-0.10265735648267915,0.4951645157718212
3.3056992850242586,-0.2122025165463438,0.4838245672071437
3.3547726045282342,-0.32347975938204293,0.48576846080798214
3.4035652631677737,-0.43325518677128483,0.4884057213863629
3.45176120911866,-0.5434806439259301,0.4744566366003305
3.498445361097935,-0.6546778835575381,0.46364491401186403
3.543956720527798,-0.766413249513573,0.4529095061282102
3.5888687791733456,-0.8784317999910521,0.44600297306770725
3.6337693162846563,-0.9901637067949233,0.44570661251969224
3.6794218450434855,-1.1012856318106068,0.46311549559735316
3.7263202670518822,-1.2113935380505843,0.4833540221621594
3.77516560530184,-1.3204939575620407,0.5100315754125032
3.8269392038780783,-1.428346886424738,0.5580956924828621
3.8825942108724436,-1.5341609067529445,0.6093093535050889
3.9423211079126648,-1.636362631552393,0.6583504029554756
4.008974382939127,-1.7367844334935822,0.7219161929618386
4.0818380219487205,-1.8311756998380637,0.8144245705992273
4.165468205504803,-1.9156475759577134,0.9093452209155538
4.257322674275392,-1.994016723475705,0.9455820699565468
4.353772814472455,-2.0629716131239655,1.0222561202945122
4.459107314902402,-2.1185830548065563,1.0720983304271674
4.56675629088183,-2.165961114653753,1.1060663972296005
4.680120528218788,-2.205795838506577,1.1354661330690092
4.794534653944632,-2.236200269833405,1.1425941597597626
4.906305068681349,-2.262400380544,1.0969097319750902
5.01090621620703,-2.283280627638469,1.0219063529065433
5.110218131877213,-2.2983183225776083,0.9831508666545515
5.2019911377683705,-2.283043428566626,0.9122720043642242
5.294144158518619,-2.2457640292580563,0.9232666761026619
5.390388390573943,-2.2121674028233533,0.9840051910180818
5.491787923259934,-2.181474734936648,1.060960768645815
5.598019152952969,-2.1483964162882523,1.0548417869432398
5.70599750817355,-2.107479621855805,1.0809723940213745
5.815131460138943,-2.0599096289611794,1.0823202697381862
5.9225056024709435,-2.0064218974832038,1.0608508882552277
6.02799811707736,-1.9493574356038053,1.058952672358738
6.132418085274785,-1.8908101506837316,1.0345549308438464
6.23437814913003,-1.828569590370682,1.0113789188386768
6.334617521192546,-1.7637131866891618,0.9968198305745933
6.433990669668775,-1.697526341016417,1.0003188357218418
6.53304828444873,-1.6308673280236181,0.9810810468735193
6.631075647340518,-1.5627031047832338,0.9729560317163803
6.728181240618851,-1.4930695491786876,0.9633667581088823
6.824756213895699,-1.4218881279333004,0.9642744345689698
6.920851222828174,-1.3502179271486792,0.9544938129679212
